Industry_code_NZSIOC,Value
CC721,4868
CC721,56
CC721,15
CC721,100
CC721,1131
CC721,1
CC721,239
CC721,3297
CC721,30
CC721,504
CC721,571
CC721,460
CC721,3522
CC721,1892
CC721,828
CC721,179
CC721,61
CC721,803
CC721,3522
CC721,1579
CC721,1284
CC721,659
CC721,240900
CC721,21000
CC721,147
CC721,103
CC721,29
CC721,29
CC721,13
CC721,45
CC72,5260
CC72,336
CC72,4882
CC72,22
CC72,1
CC72,18
CC72,4868
CC72,56
CC72,15
CC72,100
CC72,1131
CC72,1
CC72,239
CC72,3297
CC72,30
CC72,504
CC72,571
CC72,460
CC72,3522
CC72,1892
CC72,828
CC72,179
CC72,61
CC72,803
CC72,3522
CC72,1579
CC72,1284
CC72,659
CC72,240900
CC72,21000
CC72,147
CC72,103
CC72,29
CC72,29
CC72,13
CC72,45
CC811,2486
CC811,36
CC811,2439
CC811,3
CC811,1
CC811,7
CC811,2379
CC811,12
CC811,4
CC811,53
CC811,727
CC811,C
CC811,38
CC811,1532
CC811,14
CC811,355
CC811,387
CC811,138
CC811,1799
CC811,1106
CC811,521
CC811,72
CC811,19
CC811,172
CC811,1799
CC811,782
CC811,766
CC811,251
CC811,235200
CC811,13100
CC811,144
CC811,94
CC811,-6
CC811,18
CC811,8
CC811,43
CC81,2486
CC81,36
CC81,2439
CC81,3
CC81,1
CC81,7
CC81,2379
CC81,12
CC81,4
CC81,53
CC81,727
CC81,C
CC81,38
CC81,1532
CC81,14
CC81,355
CC81,387
CC81,138
CC81,1799
CC81,1106
CC81,521
CC81,72
CC81,19
CC81,172
CC81,1799
CC81,782
CC81,766
CC81,251
CC81,235200
CC81,13100
CC81,144
CC81,94
CC81,-6
CC81,18
CC81,8
CC81,43
CC821,3391
CC821,362
CC821,2903
CC821,20
CC821,15
CC821,92
CC821,3382
CC821,66
CC821,9
CC821,97
CC821,726
CC821,10
CC821,157
CC821,2152
CC821,176
CC821,448
CC821,432
CC821,-7
CC821,3343
CC821,1664
CC821,331
CC821,81
CC821,20
CC821,1348
CC821,3343
CC821,1065
CC821,1417
CC821,861
CC821,294800
CC821,-600
CC821,117
CC821,87
CC821,56
CC821,-1
CC821,0
CC821,32
CC822,3666
CC822,417
CC822,3205
CC822,23
CC822,7
CC822,14
CC822,3328
CC822,34
CC822,10
CC822,71
CC822,915
CC822,1
CC822,291
CC822,1980
CC822,26
CC822,442
CC822,414
CC822,310
CC822,2459
CC822,1528
CC822,534
CC822,131
CC822,49
CC822,397
CC822,2459
CC822,1084
CC822,923
CC822,452
CC822,240700
CC822,20400
CC822,166
CC822,121
CC822,30
CC822,29
CC822,13
CC822,44
CC82,7057
CC82,779
CC82,6108
CC82,42
CC82,22
CC82,106
CC82,6710
CC82,100
CC82,20
CC82,168
CC82,1641
CC82,10
CC82,449
CC82,4132
CC82,201
CC82,890
CC82,846
CC82,303
CC82,5802
CC82,3192
CC82,865
CC82,212
CC82,69
CC82,1745
CC82,5802
CC82,2149
CC82,2340
CC82,1313
CC82,263900
CC82,11300
CC82,136
CC82,100
CC82,42
CC82,14
CC82,5
CC82,37
CC911,1103
CC911,84
CC911,1013
CC911,3
CC911,0
CC911,3
CC911,1030
CC911,15
CC911,5
CC911,21
CC911,268
CC911,0
CC911,62
CC911,645
CC911,14
CC911,93
CC911,99
CC911,79
CC911,588
CC911,350
CC911,149
CC911,37
CC911,21
CC911,89
CC911,588
CC911,149
CC911,243
CC911,196
CC911,207300
CC911,14900
CC911,144
CC911,104
CC911,26
CC911,53
CC911,13
CC911,25
CC912,545
CC912,64
CC912,478
CC912,2
CC912,C
CC912,C
CC912,504
CC912,7
CC912,2
CC912,10
CC912,127
CC912,0
CC912,40
CC912,316
CC912,2
CC912,96
CC912,99
CC912,44
CC912,350
CC912,228
CC912,78
CC912,21
CC912,7
CC912,44
CC912,350
CC912,131
CC912,145
CC912,74
CC912,207900
CC912,16800
CC912,157
CC912,89
CC912,37
CC912,34
CC912,13
CC912,37
CC91,1649
CC91,147
CC91,1492
CC91,4
CC91,C
CC91,C
CC91,1534
CC91,22
CC91,7
CC91,31
CC91,396
CC91,0
CC91,102
CC91,961
CC91,16
CC91,189
CC91,198
CC91,123
CC91,938
CC91,578
CC91,227
CC91,58
CC91,28
CC91,133
CC91,938
CC91,280
CC91,388
CC91,270
CC91,207500
CC91,15500
CC91,149
CC91,98
CC91,31
CC91,44
CC91,13
CC91,30
CC,104233
CC,10676
CC,91764
CC,559
CC,40
CC,1194
CC,100802
CC,1181
CC,3096
CC,2450
CC,13073
CC,63
CC,7718
CC,72272
CC,1012
CC,12310
CC,13048
CC,4169
CC,73488
CC,32283
CC,24125
CC,3925
CC,999
CC,17080
CC,73488
CC,33103
CC,26901
CC,13483
CC,471200
CC,18800
CC,120
CC,72
CC,28
CC,13
CC,6
CC,45
DD11,15272
DD11,14735
DD11,C
DD11,0
DD11,C
DD11,12986
DD11,1029
DD11,42
DD11,1448
DD11,819
DD11,C
DD11,9341
DD11,307
DD11,345
DD11,404
DD11,2344
DD11,C
DD11,5001
DD11,C
DD11,1966
DD11,327
DD11,5543
DD11,C
DD11,C
DD11,4935
DD11,C
DD11,1597900
DD11,245300
DD11,101
DD11,93
DD11,C
DD11,C
DD11,C
DD12,2011
DD12,1904
DD12,C
DD12,5
DD12,C
DD12,1782
DD12,93
DD12,19
DD12,316
DD12,347
DD12,C
DD12,965
DD12,42
DD12,14
DD12,17
DD12,232
DD12,C
DD12,524
DD12,C
DD12,554
DD12,67
DD12,332
DD12,C
DD12,C
DD12,914
DD12,C
DD12,346400
DD12,39900
DD12,57
DD12,55
DD12,C
DD12,C
DD12,C
DD,17284
DD,16638
DD,289
DD,5
DD,352
DD,14768
DD,1123
DD,61
DD,1764
